trial,gen,CR,Faith,AR,W-Score,bm25_k,vec_k,rrf_k,rerank_k,thresh,fk,reranker,reranker_type,fusion,alpha,mode,adapt_thresh
265,10,0.8404,0.9128,0.8692,2.8920,265,255,191,10,0.0268,8,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.66,fixed,0.192
266,10,0.8312,0.9257,0.8812,2.9113,27,98,257,20,0.1332,5,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.17,fixed,0.237
267,10,0.8425,0.9383,0.8819,2.9385,52,197,63,32,0.0799,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.59,adaptive,0.170
268,10,0.7649,0.9062,0.8595,2.7978,258,160,187,47,0.2444,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.81,fixed,0.239
269,10,0.8366,0.9344,0.8719,2.9170,254,270,102,10,0.2481,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.40,adaptive,0.226
270,10,0.8017,0.9166,0.8651,2.8532,317,247,262,18,0.2049,9,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.45,fixed,0.130
271,10,0.8465,0.9454,0.8796,2.9486,49,169,127,10,0.1332,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.59,adaptive,0.140
272,10,0.8008,0.9344,0.8766,2.8863,324,121,207,18,0.0843,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.49,adaptive,0.175
273,10,0.8446,0.9542,0.8817,2.9596,307,269,79,41,0.0478,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.81,fixed,0.079
274,10,0.8476,0.9238,0.8719,2.9152,449,223,116,24,0.0217,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.12,fixed,0.077
275,10,0.8430,0.9604,0.8837,2.9676,482,247,169,10,0.1332,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.87,fixed,0.083
276,10,0.8230,0.9184,0.8765,2.8892,222,64,100,30,0.1332,5,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.45,fixed,0.071
277,10,0.8446,0.9371,0.8808,2.9379,69,169,79,24,0.0334,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.75,fixed,0.140
278,10,0.8497,0.9271,0.8615,2.9098,329,270,54,12,0.1963,2,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.68,fixed,0.067
279,10,0.8438,0.9601,0.8866,2.9712,485,129,212,18,0.2460,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.18,adaptive,0.109
280,11,0.8466,0.9463,0.8794,2.9495,320,64,211,32,0.0372,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.90,adaptive,0.067
281,11,0.8430,0.9596,0.8680,2.9494,15,169,246,10,0.1332,7,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.73,adaptive,0.155
282,11,0.8383,0.9251,0.8788,2.9151,219,48,268,28,0.0843,3,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.80,fixed,0.175
283,11,0.8462,0.9225,0.8664,2.9063,416,269,223,41,0.1332,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.21,fixed,0.157
284,11,0.8440,0.9597,0.8836,2.9676,482,247,72,10,0.0334,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.29,fixed,0.245
285,11,0.8097,0.9285,0.8701,2.8810,317,64,211,18,0.1332,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.74,adaptive,0.214
286,11,0.8446,0.9542,0.8817,2.9596,307,269,63,49,0.1245,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.75,adaptive,0.079
287,11,0.8441,0.9379,0.8819,2.9396,265,38,257,32,0.0843,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.81,fixed,0.135
288,11,0.8440,0.9606,0.8855,2.9708,258,247,207,16,0.2377,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.45,adaptive,0.143
289,11,0.8340,0.9179,0.8664,2.8886,27,104,79,18,0.0832,8,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.81,fixed,0.140
290,11,0.8453,0.9340,0.8817,2.9359,27,145,79,14,0.0163,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.45,fixed,0.188
291,11,0.8344,0.9365,0.8729,2.9184,69,64,137,32,0.0674,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.81,fixed,0.067
292,11,0.8418,0.9547,0.8829,2.9587,317,267,201,46,0.1332,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.89,fixed,0.214
293,11,0.8423,0.9532,0.8830,2.9575,113,64,195,35,0.0334,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.81,adaptive,0.067
294,11,0.8492,0.9245,0.8662,2.9114,320,247,187,32,0.1857,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.16,adaptive,0.064
295,11,0.7974,0.9127,0.8665,2.8459,15,270,288,14,0.1857,3,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.37,fixed,0.109
296,11,0.8338,0.9155,0.8811,2.9017,181,235,257,37,0.0843,3,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.80,fixed,0.175
297,11,0.8440,0.9606,0.8855,2.9708,334,230,212,18,0.0163,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.45,adaptive,0.130
298,11,0.8470,0.9228,0.8663,2.9073,297,269,16,18,0.1332,2,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.59,fixed,0.126
